,brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price
0,Maruti,Alto,9,120000,Individual,Petrol,Manual,19.7,796,46.3,5,120000
1,Hyundai,Grand,5,20000,Individual,Petrol,Manual,18.9,1197,82.0,5,550000
2,Hyundai,i20,11,60000,Individual,Petrol,Manual,17.0,1197,80.0,5,215000
3,Maruti,Alto,9,37000,Individual,Petrol,Manual,20.92,998,67.1,5,226000
4,Ford,Ecosport,6,30000,Dealer,Diesel,Manual,22.77,1498,98.59,5,570000
5,Maruti,Wagon R,8,35000,Individual,Petrol,Manual,18.9,998,67.1,5,350000
6,Hyundai,i10,8,40000,Dealer,Petrol,Manual,20.36,1197,78.9,5,315000
7,Maruti,Wagon R,3,17512,Dealer,Petrol,Manual,20.51,998,67.04,5,410000
8,Hyundai,Venue,2,20000,Individual,Petrol,Automatic,18.15,998,118.35,5,1050000
9,Maruti,Swift,4,28321,Dealer,Petrol,Manual,16.6,1197,85.0,5,511000
10,Hyundai,Verna,8,65278,Dealer,Diesel,Manual,22.32,1582,126.32,5,425000
11,Renault,Duster,5,50000,Individual,Diesel,Manual,19.64,1461,108.45,5,750000
12,Mini,Cooper,4,6000,Dealer,Petrol,Automatic,14.41,1998,189.08,5,3250000
13,Maruti,Ciaz,5,76000,Dealer,Diesel,Manual,28.09,1248,88.5,5,650000
14,Maruti,Swift,5,20000,Individual,Diesel,Manual,25.2,1248,74.0,5,627000
15,Mercedes-Benz,C-Class,7,65000,Dealer,Diesel,Automatic,19.27,2143,170.0,5,1425000
16,Maruti,Swift,7,62200,Dealer,Diesel,Manual,28.4,1248,74.0,5,425000
17,Toyota,Innova,8,110000,Individual,Diesel,Manual,12.99,2494,100.6,8,605000
18,Maruti,Baleno,6,20000,Individual,Petrol,Manual,21.4,1197,83.1,5,600000
19,Maruti,Swift Dzire,5,40000,Individual,Petrol,Manual,20.85,1197,83.14,5,575000
20,Volkswagen,Vento,8,47000,Dealer,Petrol,Manual,16.09,1598,103.2,5,425000
21,Maruti,Alto,8,25000,Dealer,Petrol,Manual,20.92,998,67.1,5,230000
22,Hyundai,Creta,2,15000,Individual,Diesel,Manual,19.67,1582,126.2,5,1225000
23,Honda,City,6,50000,Individual,Petrol,Manual,17.4,1497,117.3,5,750000
24,Mahindra,Bolero,10,25000,Individual,Diesel,Manual,13.6,2523,63.0,7,350000
25,Maruti,Swift Dzire,6,90000,Individual,Diesel,Manual,26.59,1248,74.0,5,600000
26,Maruti,Swift Dzire,8,45000,Dealer,Diesel,Manual,26.59,1248,74.0,5,390000
27,Honda,City,14,77253,Dealer,Petrol,Manual,17.7,1497,78.0,5,145000
28,Hyundai,i20,3,25000,Individual,Petrol,Manual,17.19,1197,81.86,5,700000
29,Toyota,Fortuner,8,110000,Individual,Diesel,Manual,13.0,2982,168.5,7,1150000
30,Renault,KWID,4,30000,Individual,Petrol,Manual,23.01,999,67.0,5,340000
31,Honda,Amaze,5,39993,Dealer,Petrol,Manual,18.6,1199,88.76,5,465000
32,Hyundai,Santro,12,80000,Individual,Petrol,Manual,17.92,1086,62.1,5,125000
33,Mahindra,XUV500,9,185000,Individual,Diesel,Manual,15.1,2179,140.0,7,600000
34,Maruti,Swift Dzire,8,90000,Individual,Diesel,Manual,23.4,1248,74.0,5,380000
35,Hyundai,i20,3,15000,Individual,Diesel,Manual,22.54,1396,88.73,5,850000
36,Hyundai,i20,3,40000,Individual,Petrol,Manual,18.6,1197,81.83,5,598000
37,Honda,City,6,31180,Dealer,Petrol,Automatic,18.0,1497,117.3,5,700000
38,Maruti,Swift Dzire,7,56000,Dealer,Diesel,Manual,23.4,1248,74.0,5,410000
39,Maruti,Baleno,5,52427,Dealer,Petrol,Automatic,21.4,1197,83.1,5,590000
40,Mahindra,Bolero,1,40000,Individual,Diesel,Manual,21.0,1498,74.96,7,850000
