,vehicle_age,km_driven,mileage,engine,max_power,seats,selling_price,km_per_year,power_to_engine_ratio,efficiency_score,is_premium_brand,is_popular_brand,brand_encoded,seller_type_encoded,fuel_type_encoded,transmission_type_encoded,age_category_encoded,mileage_category_encoded,engine_category_encoded,power_category_encoded,fuel_efficiency_encoded
0,9,120000,19.7,796,46.3,5,120000,12000.0,0.05809284818067754,24.748743718592962,0,0,13,1,0,0,2,3,0,0,1
1,5,20000,18.9,1197,82.0,5,550000,3333.3333333333335,0.06844741235392321,15.789473684210524,0,0,13,1,0,0,1,0,1,1,1
2,11,60000,17.0,1197,80.0,5,215000,5000.0,0.0667779632721202,14.202172096908939,0,0,13,1,0,0,2,1,1,1,1
3,9,37000,20.92,998,67.1,5,226000,3700.0,0.06716716716716715,20.96192384769539,0,0,13,1,0,0,2,1,0,0,2
4,6,30000,22.77,1498,98.59,5,570000,4285.714285714285,0.06577051367578386,15.200267022696929,0,0,13,1,0,0,1,0,1,1,2
5,8,35000,18.9,998,67.1,5,350000,3888.8888888888887,0.06716716716716715,18.937875751503004,0,0,13,1,0,0,2,1,0,0,1
6,8,40000,20.36,1197,78.9,5,315000,4444.444444444444,0.06585976627712856,17.009189640768586,0,0,13,1,0,0,2,1,1,1,2
7,3,17512,20.51,998,67.04,5,410000,4378.0,0.06710710710710711,20.55110220440882,0,0,13,1,0,0,0,0,0,0,2
8,2,20000,18.15,998,118.35,5,1050000,6666.666666666667,0.11846846846846847,18.18637274549098,0,0,13,1,0,0,0,0,0,1,1
9,4,28321,16.6,1197,85.0,5,511000,5664.2,0.0709515859766277,13.868003341687553,0,0,13,1,0,0,1,0,1,1,1
10,8,65278,22.32,1582,126.32,5,425000,7253.111111111111,0.07979785217940619,14.108723135271807,0,0,13,1,0,0,2,2,2,2,2
11,5,50000,19.64,1461,108.45,5,750000,8333.333333333334,0.07417920656634747,13.442847364818617,0,0,13,1,0,0,1,1,1,1,1
12,5,76000,28.09,1248,88.5,5,650000,12666.666666666666,0.07085668534827862,22.50801282051282,0,0,13,1,0,0,1,2,1,1,3
13,5,20000,25.2,1248,74.0,5,627000,3333.3333333333335,0.059247397918334666,20.192307692307693,0,0,13,1,0,0,1,0,1,0,3
14,7,62200,28.4,1248,74.0,5,425000,7775.0,0.059247397918334666,22.756410256410255,0,0,13,1,0,0,1,2,1,0,3
15,6,20000,21.4,1197,83.1,5,600000,2857.1428571428573,0.06936560934891485,17.878028404344192,0,0,13,1,0,0,1,0,1,1,2
16,5,40000,20.85,1197,83.14,5,575000,6666.666666666667,0.06939899833055092,17.418546365914786,0,0,13,1,0,0,1,1,1,1,2
17,8,47000,16.09,1598,103.2,5,425000,5222.222222222223,0.06454033771106941,10.06883604505632,0,0,13,1,0,0,2,1,2,1,1
18,8,25000,20.92,998,67.1,5,230000,2777.777777777778,0.06716716716716715,20.96192384769539,0,0,13,1,0,0,2,0,0,0,2
19,6,50000,17.4,1497,117.3,5,750000,7142.857142857143,0.07830440587449933,11.62324649298597,0,0,13,1,0,0,1,1,1,1,1
20,6,90000,26.59,1248,74.0,5,600000,12857.142857142857,0.059247397918334666,21.306089743589745,0,0,13,1,0,0,1,2,1,0,3
21,8,45000,26.59,1248,74.0,5,390000,5000.0,0.059247397918334666,21.306089743589745,0,0,13,1,0,0,2,1,1,0,3
22,14,77253,17.7,1497,78.0,5,145000,5150.2,0.0520694259012016,11.823647294589177,0,0,13,1,0,0,3,2,1,1,1
23,3,25000,17.19,1197,81.86,5,700000,6250.0,0.068330550918197,14.360902255639099,0,0,13,1,0,0,0,0,1,1,1
24,4,30000,23.01,999,67.0,5,340000,6000.0,0.067,23.033033033033036,0,0,13,1,0,0,1,0,0,0,2
25,5,39993,18.6,1199,88.76,5,465000,6665.5,0.07396666666666667,15.512927439532945,0,0,13,1,0,0,1,1,1,1,1
26,12,80000,17.92,1086,62.1,5,125000,6153.846153846154,0.05712971481140754,16.500920810313076,0,0,13,1,0,0,2,2,1,0,1
27,8,90000,23.4,1248,74.0,5,380000,10000.0,0.059247397918334666,18.75,0,0,13,1,0,0,2,2,1,0,2
28,3,15000,22.54,1396,88.73,5,850000,3750.0,0.06351467430207589,16.146131805157594,0,0,13,1,0,0,0,0,1,1,2
29,3,40000,18.6,1197,81.83,5,598000,10000.0,0.06830550918196995,15.538847117794486,0,0,13,1,0,0,0,1,1,1,1
30,6,31180,18.0,1497,117.3,5,700000,4454.285714285715,0.07830440587449933,12.024048096192384,0,0,13,1,0,0,1,1,1,1,1
31,7,56000,23.4,1248,74.0,5,410000,7000.0,0.059247397918334666,18.75,0,0,13,1,0,0,1,1,1,0,2
32,5,52427,21.4,1197,83.1,5,590000,8737.833333333334,0.06936560934891485,17.878028404344192,0,0,13,1,0,0,1,1,1,1,2
33,1,40000,21.0,1498,74.96,7,850000,20000.0,0.05000667111407605,14.018691588785046,0,0,13,1,0,0,0,1,1,0,2
34,3,17000,18.15,1198,82.0,5,550000,4250.0,0.06839032527105922,15.150250417362269,0,0,13,1,0,0,0,0,1,1,1
35,5,22000,15.4,1590,94.0,5,625000,3666.6666666666665,0.0590823381521056,9.685534591194969,0,0,13,1,0,0,1,0,2,1,1
36,5,54000,20.85,1197,83.14,5,600000,9000.0,0.06939899833055092,17.418546365914786,0,0,13,1,0,0,1,1,1,1,2
37,2,10000,20.51,998,67.04,5,445000,3333.3333333333335,0.06710710710710711,20.55110220440882,0,0,13,1,0,0,0,0,0,0,2
38,2,20000,20.89,1197,81.8,5,530000,6666.666666666667,0.0682804674457429,17.451963241436925,0,0,13,1,0,0,0,0,1,1,2
39,3,53237,26.6,998,58.16,5,410000,13309.25,0.058218218218218216,26.653306613226455,0,0,13,1,0,0,0,1,0,0,3
40,3,27263,22.5,999,68.0,5,350000,6815.75,0.068,22.52252252252252,0,0,13,1,0,0,0,0,0,0,2
41,7,110000,22.32,1582,126.3,5,520000,13750.0,0.07978521794061907,14.108723135271807,0,0,13,1,0,0,1,3,2,2,2
42,5,70000,22.54,1396,88.73,5,750000,11666.666666666666,0.06351467430207589,16.146131805157594,0,0,13,1,0,0,1,2,1,1,2
43,4,70000,26.59,1248,74.0,5,560000,14000.0,0.059247397918334666,21.306089743589745,0,0,13,1,0,0,1,2,1,0,3
44,2,39000,18.6,1197,81.83,5,655000,13000.0,0.06830550918196995,15.538847117794486,0,0,13,1,0,0,0,1,1,1,1
45,14,56000,17.8,1086,63.0,5,125000,3733.3333333333335,0.05795768169273229,16.390423572744016,0,0,13,1,0,0,3,1,1,0,1
46,3,34000,18.6,1197,81.83,5,550000,8500.0,0.06830550918196995,15.538847117794486,0,0,13,1,0,0,0,1,1,1,1
47,9,77400,20.54,1598,103.6,5,500000,7740.0,0.06479049405878674,12.853566958698371,0,0,13,1,0,0,2,2,2,1,2
48,2,36000,17.3,1497,121.0,7,990000,12000.0,0.08077436582109479,11.556446225784903,0,0,13,1,0,0,0,1,1,1,1
49,8,47876,25.0,1493,113.42,5,551000,5319.555555555556,0.07591700133868809,16.744809109176153,0,0,13,1,0,0,2,1,1,1,2
50,6,75000,24.0,1120,70.0,5,350000,10714.285714285714,0.06244424620874219,21.428571428571427,0,0,13,1,0,0,1,2,1,0,2
51,4,58000,18.16,1196,86.8,5,500000,11600.0,0.07251461988304093,15.183946488294316,0,0,13,1,0,0,1,1,1,1,1
52,3,30000,21.21,1197,81.8,5,575000,7500.0,0.0682804674457429,17.719298245614034,0,0,13,1,0,0,0,0,1,1,2
53,3,50000,24.0,1186,73.97,5,545000,12500.0,0.0623167649536647,20.236087689713322,0,0,13,1,0,0,0,1,1,0,2
54,4,19093,18.16,1196,86.8,5,525000,3818.6,0.07251461988304093,15.183946488294316,0,0,13,1,0,0,1,0,1,1,1
55,7,50000,18.0,1198,86.7,5,400000,6250.0,0.07231025854879067,15.025041736227045,0,0,13,1,0,0,1,1,1,1,1
56,15,37000,14.0,1061,64.0,5,155000,2312.5,0.060263653483992465,13.195098963242225,0,0,13,1,0,0,3,1,1,0,0
57,5,47000,26.59,1248,74.0,5,545000,7833.333333333333,0.059247397918334666,21.306089743589745,0,0,13,1,0,0,1,1,1,0,3
58,8,70000,16.8,1497,116.3,5,545000,7777.777777777777,0.07763684913217624,11.222444889779558,0,0,13,1,0,0,2,2,1,1,1
59,5,25000,25.17,799,53.3,5,240000,4166.666666666667,0.06662499999999999,31.501877346683354,0,0,13,1,0,0,1,0,0,0,3
60,3,26000,24.3,1248,88.5,5,725000,6500.0,0.07085668534827862,19.471153846153847,0,0,13,1,0,0,0,0,1,1,2
61,4,30000,18.16,1196,86.8,5,480000,6000.0,0.07251461988304093,15.183946488294316,0,0,13,1,0,0,1,0,1,1,1
62,8,15000,18.5,1197,82.9,5,375000,1666.6666666666667,0.06919866444073457,15.455304928989138,0,0,13,1,0,0,2,0,1,1,1
63,4,32100,23.84,1199,84.0,5,400000,6420.0,0.07,19.88323603002502,0,0,13,1,0,0,1,1,1,1,2
64,5,22000,18.5,1197,82.9,5,550000,3666.6666666666665,0.06919866444073457,15.455304928989138,0,0,13,1,0,0,1,0,1,1,1
65,5,78000,18.78,1198,74.0,5,450000,13000.0,0.061718098415346125,15.67612687813022,0,0,13,1,0,0,1,2,1,0,1
66,7,37000,20.51,998,67.04,5,350000,4625.0,0.06710710710710711,20.55110220440882,0,0,13,1,0,0,1,1,0,0,2
67,7,69000,25.1,1498,98.6,5,550000,8625.0,0.0657771847898599,16.755674232309747,0,0,13,1,0,0,1,2,1,1,3
68,2,12120,16.8,1497,113.4,5,1080000,4040.0,0.07570093457943926,11.222444889779558,0,0,13,1,0,0,0,0,1,1,1
69,5,52000,21.01,1197,81.8,5,575000,8666.666666666666,0.0682804674457429,17.552213868003342,0,0,13,1,0,0,1,1,1,1,2
70,8,55000,22.74,796,47.3,5,230000,6111.111111111111,0.059347553324968626,28.567839195979897,0,0,13,1,0,0,2,1,0,0,2
71,10,40000,15.6,1196,70.0,5,130000,3636.3636363636365,0.05847953216374269,13.043478260869566,0,0,13,1,0,0,2,1,1,0,1
72,9,46000,19.1,1197,85.8,5,370000,4600.0,0.07161936560934891,15.95655806182122,0,0,13,1,0,0,2,1,1,1,1
73,4,25000,21.4,1197,83.1,5,570000,5000.0,0.06936560934891485,17.878028404344192,0,0,13,1,0,0,1,0,1,1,2
74,8,90000,22.07,1199,73.9,5,365000,10000.0,0.06158333333333334,18.407005838198497,0,0,13,1,0,0,2,2,1,0,2
75,9,49566,18.5,1197,82.85,5,280000,4956.6,0.06915692821368948,15.455304928989138,0,0,13,1,0,0,2,1,1,1,1
76,5,11000,18.6,1197,81.83,5,590000,1833.3333333333333,0.06830550918196995,15.538847117794486,0,0,13,1,0,0,1,0,1,1,1
77,3,5000,23.1,998,67.04,5,475000,1250.0,0.06710710710710711,23.146292585170343,0,0,13,1,0,0,0,0,0,0,2
78,4,55000,23.0,1498,98.96,5,685000,11000.0,0.06601734489659773,15.353805073431241,0,0,13,1,0,0,1,1,1,1,2
79,9,65000,19.08,1582,126.32,5,380000,6500.0,0.07979785217940619,12.060682680151706,0,0,13,1,0,0,2,2,2,2,1
80,3,22000,23.01,999,67.0,5,330000,5500.0,0.067,23.033033033033036,0,0,13,1,0,0,0,0,0,0,2
81,3,7671,21.01,1197,81.8,5,650000,1917.75,0.0682804674457429,17.552213868003342,0,0,13,1,0,0,0,0,1,1,2
82,5,66000,20.51,998,67.04,5,325000,11000.0,0.06710710710710711,20.55110220440882,0,0,13,1,0,0,1,2,0,0,2
83,3,45156,21.21,1197,81.8,5,640000,11289.0,0.0682804674457429,17.719298245614034,0,0,13,1,0,0,0,1,1,1,2
84,2,25000,18.27,998,118.35,5,949000,8333.333333333334,0.11846846846846847,18.306613226452907,0,0,13,1,0,0,0,0,0,1,1
85,6,120000,23.9,1582,126.2,5,660000,17142.85714285714,0.07972204674668351,15.107458912768646,0,0,13,1,0,0,1,3,2,2,2
86,7,28000,16.1,1197,85.0,5,435000,3500.0,0.0709515859766277,13.450292397660819,0,0,13,1,0,0,1,0,1,1,1
87,8,55000,21.9,1396,88.76,5,385000,6111.111111111111,0.06353614889047961,15.687679083094556,0,0,13,1,0,0,2,1,1,1,2
88,12,98780,18.9,998,67.1,5,155000,7598.461538461538,0.06716716716716715,18.937875751503004,0,0,13,1,0,0,2,2,0,0,1
89,6,58000,25.2,1248,74.0,5,415000,8285.714285714286,0.059247397918334666,20.192307692307693,0,0,13,1,0,0,1,1,1,0,3
90,10,30000,20.92,998,67.1,5,251000,2727.2727272727275,0.06716716716716715,20.96192384769539,0,0,13,1,0,0,2,0,0,0,2
91,7,32111,19.81,1086,68.05,5,310000,4013.875,0.06260349586016559,18.24125230202578,0,0,13,1,0,0,1,1,1,0,1
92,6,35000,19.44,1198,67.0,7,350000,5000.0,0.05587989991659716,16.22704507512521,0,0,13,1,0,0,1,1,1,0,1
93,3,10000,20.62,1198,67.0,7,480000,2500.0,0.05587989991659716,17.212020033388985,0,0,13,1,0,0,0,0,1,0,2
94,4,25000,28.4,1248,74.02,5,850000,5000.0,0.05926341072858286,22.756410256410255,0,0,13,1,0,0,1,0,1,0,3
95,4,102000,17.01,1582,126.2,5,1100000,20400.0,0.07972204674668351,10.752212389380531,0,0,13,1,0,0,1,3,2,2,1
96,3,35000,22.0,1197,81.8,5,575000,8750.0,0.0682804674457429,18.379281537176272,0,0,13,1,0,0,0,1,1,1,2
97,9,49948,17.5,1298,85.8,5,340000,4994.8,0.06605080831408776,13.482280431432974,0,0,13,1,0,0,2,1,1,1,1
98,3,55000,23.0,1498,98.96,5,925000,13750.0,0.06601734489659773,15.353805073431241,0,0,13,1,0,0,0,1,1,1,2
99,6,36000,18.9,1197,82.0,5,400000,5142.857142857143,0.06844741235392321,15.789473684210524,0,0,13,1,0,0,1,1,1,1,1
100,5,49625,17.8,1497,117.3,5,725000,8270.833333333334,0.07830440587449933,11.890447561790246,0,0,13,1,0,0,1,1,1,1,1
101,7,35000,23.4,1248,74.0,5,600000,4375.0,0.059247397918334666,18.75,0,0,13,1,0,0,1,1,1,0,2
102,4,36000,25.83,1498,99.0,5,585000,7200.0,0.06604402935290193,17.242990654205606,0,0,13,1,0,0,1,1,1,1,3
103,2,50000,21.79,998,67.05,5,411000,16666.666666666668,0.06711711711711711,21.83366733466934,0,0,13,1,0,0,0,1,0,0,2
104,6,26500,20.85,1197,83.14,5,450000,3785.714285714286,0.06939899833055092,17.418546365914786,0,0,13,1,0,0,1,0,1,1,2
105,6,46000,16.47,1198,74.0,5,455000,6571.428571428572,0.061718098415346125,13.747913188647745,0,0,13,1,0,0,1,1,1,0,1
106,2,9000,20.7,1197,81.86,5,710000,3000.0,0.068330550918197,17.293233082706767,0,0,13,1,0,0,0,0,1,1,2
107,5,53000,16.8,1497,116.3,5,770000,8833.333333333334,0.07763684913217624,11.222444889779558,0,0,13,1,0,0,1,1,1,1,1
108,3,50000,25.8,1498,98.6,5,720000,12500.0,0.0657771847898599,17.222963951935917,0,0,13,1,0,0,0,1,1,1,3
109,5,52000,25.32,1198,77.0,5,375000,8666.666666666666,0.06422018348623854,21.135225375626046,0,0,13,1,0,0,1,1,1,1,3
